index,logic_type,logic_subtype,logic_type_code,Premise,Hypothesis,Label
0,First Order Logic,Universal Instantiation,F2,All elephants are mammals.. Curtis is an elephant.,Curtis is a mammal.,True
1,First Order Logic,Universal Instantiation,F2,All cats are animals.. Luna is a cat.,Luna is an animal.,True
2,First Order Logic,Universal Instantiation,F2,All dogs are animals.. Baxter is a dog.,Baxter is an animal.,True
3,First Order Logic,Universal Instantiation,F2,All rats are animals.. Remy is a rat.,Remy is an animal.,True
4,First Order Logic,Universal Instantiation,F2,All birds are animals.. Tweety is a bird.,Tweety is an animal.,True
5,First Order Logic,Universal Instantiation,F2,All cars are vehicles.. The Ford Explorer is a car.,The Ford Explorer is a vehicle.,True
6,First Order Logic,Universal Instantiation,F2,All boats are vehicles.. The Titanic was a boat.,The Titanic was a vehicle.,True
7,First Order Logic,Universal Instantiation,F2,All plants are living things.. Ferns are plants.,Ferns are living things.,True
8,First Order Logic,Universal Instantiation,F2,All trees are plants.. The oak tree in my front yard is a tree.,The oak tree in my front yard is a plant.,True
9,First Order Logic,Universal Instantiation,F2,All humans are animals.. George is a human.,George is an animal.,True
10,First Order Logic,Universal Instantiation,F2,All planets are celestial bodies.. Mercury is a planet.,Mercury is a celestial body.,True
11,First Order Logic,Universal Instantiation,F2,All stars are celestial bodies.. The Sun is a star.,The Sun is a celestial body.,True
12,First Order Logic,Universal Instantiation,F2,All galaxies are celestial bodies.. The Milky Way is a galaxy.,The Milky Way is a celestial body.,True
13,First Order Logic,Universal Instantiation,F2,All atoms are particles.. Hydrogen is an atom.,Hydrogen is a particle.,True
14,First Order Logic,Universal Instantiation,F2,All molecules are particles.. Water is a molecule.,Water is a particle.,True
15,First Order Logic,Universal Instantiation,F2,All cells are organisms.. Skin cells are cells.,Skin cells are organisms.,True
16,First Order Logic,Universal Instantiation,F2,All viruses are organisms.. The flu is a virus.,The flu is an organism.,True
17,First Order Logic,Universal Instantiation,F2,All continents are landmasses.. Africa is a continent.,Africa is a landmass.,True
18,First Order Logic,Universal Instantiation,F2,All islands are landmasses.. Madagascar is an island.,Madagascar is a landmass.,True
19,First Order Logic,Universal Instantiation,F2,All rivers are bodies of water.. The Nile is a river.,The Nile is a body of water.,True
20,First Order Logic,Universal Instantiation,F2,All oceans are bodies of water.. The Pacific Ocean is an ocean.,The Pacific Ocean is a body of water.,True
21,First Order Logic,Universal Instantiation,F2,All lakes are bodies of water.. Lake Superior is a lake.,Lake Superior is a body of water.,True
22,First Order Logic,Universal Instantiation,F2,All snowflakes are crystals.. The snowflake on my coat is a snowflake.,The snowflake on my coat is a crystal.,True
23,First Order Logic,Universal Instantiation,F2,All diamonds are crystals.. The Hope Diamond is a diamond.,The Hope Diamond is a crystal.,True
24,First Order Logic,Universal Instantiation,F2,All rubies are crystals.. The Liberty Bell Ruby is a ruby.,The Liberty Bell Ruby is a crystal.,True
25,First Order Logic,Universal Instantiation,F2,All sapphires are crystals.. The Star of India is a sapphire.,The Star of India is a crystal.,True
26,First Order Logic,Universal Instantiation,F2,All food is organic.. The apple I ate for breakfast is food.,The apple I ate for breakfast is organic.,True
27,First Order Logic,Universal Instantiation,F2,All animals are organic.. The dog next door is an animal.,The dog next door is organic.,True
28,First Order Logic,Universal Instantiation,F2,All plants are organic.. The rose in my garden is a plant.,The rose in my garden is organic.,True
29,First Order Logic,Universal Instantiation,F2,All humans are organic.. I am a human.,I am organic.,True
30,First Order Logic,Universal Instantiation,F2,All inorganic matter is not alive.. Rocks are inorganic.,Rocks are not alive.,True
31,First Order Logic,Universal Instantiation,F2,All metals are inorganic.. Gold is a metal.,Gold is inorganic.,True
32,First Order Logic,Universal Instantiation,F2,All gases are inorganic.. Oxygen is a gas.,Oxygen is inorganic.,True
33,First Order Logic,Universal Instantiation,F2,All liquids are inorganic.. Water is a liquid.,Water is inorganic.,True
34,First Order Logic,Universal Instantiation,F2,All organic matter is alive.. Humans are organic.,Humans are alive.,True
35,First Order Logic,Universal Instantiation,F2,All living things are organic.. Bacteria are living things.,Bacteria are organic.,True
36,First Order Logic,Universal Instantiation,F2,All nonliving things are inorganic.. Rocks are nonliving.,Rocks are inorganic.,True
37,First Order Logic,Universal Instantiation,F2,All inanimate objects are nonliving.. Tables are inanimate.,Tables are nonliving.,True
38,First Order Logic,Universal Instantiation,F2,All organic matter is biodegradable.. Food is organic.,Food is biodegradable.,True
39,First Order Logic,Universal Instantiation,F2,All inorganic matter is nonbiodegradable.. Plastic is inorganic.,Plastic is nonbiodegradable.,True
40,First Order Logic,Universal Instantiation,F2,All living things are biodegradable.. Humans are living.,Humans are biodegradable.,True
41,First Order Logic,Universal Instantiation,F2,All nonliving things are nonbiodegradable.. Stones are nonliving.,Stones are nonbiodegradable.,True
42,First Order Logic,Universal Instantiation,F2,All elephants are mammals.. Curtis is an elephant.,Curtis is not a mammal.,False
43,First Order Logic,Universal Instantiation,F2,All dogs are animals.. Rover is a dog.,Rover is not an animal.,False
44,First Order Logic,Universal Instantiation,F2,All cats are animals.. Fluffy is a cat.,Fluffy is not an animal.,False
45,First Order Logic,Universal Instantiation,F2,All cars are vehicles.. The Ford Mustang is a car.,The Ford Mustang is not a vehicle.,False
46,First Order Logic,Universal Instantiation,F2,All birds are animals.. Tweety is a bird.,Tweety is not an animal.,False
