,premise,hypothesis,gold,predict,error
0,"After an action is performed, things normally remain as they were.. Any time the robot grasps a water pipe, the water pipe will be in the hand.. If a water pipe is in the hand, then, after the robot moves near the plants, water will come out of the pipe.. Initially the water pipe is not in the hand. Initially the robot is not near the plants","After the robot grasps the pipe, waits, then moves near the plants, water will come out of the pipe",1,1,0
1,"After an action is performed, things normally remain as they were.. Any time the robot grasps a water pipe, the water pipe will be in the hand.. If a water pipe is in the hand, then, after the robot moves near the plants, water will come out of the pipe.. Initially the water pipe is not in the hand. Initially the robot is not near the plants","After the robot grasps the pipe, waits, then does not move near the plants, water will come out of the pipe",0,0,0
2,"After an action is performed, things normally remain as they were.. Any time pet dogs start barking, they are taken out for a walk.. If a dog is taken out for a walk, then, after the walk is over, the dog will stop barking. Initially the dog is not barking. Initially the dog is not being taken out on a walk","After the dog starts barking, it is taken on walk, and then stops barking at the end of the walk.",1,1,0
3,"After an action is performed, things normally remain as they were.. Any time pet dogs start barking, they are taken out for a walk.. If a dog is taken out for a walk, then, after the walk is over, the dog will stop barking. Initially the dog is not barking. Initially the dog is not being taken out on a walk","A dog is taken out on walk, and then it starts barking,  and then it stops barking at the end of a walk.",2,2,0
4,"After an action is performed, things normally remain as they were.. When the robot grasps a water pipe, the water pipe will normally be in the hand.. When the water pipe is in the hand, if the robot moves near the plants, water will normally come out of the pipe.. Initially the water pipe is not in the hand. Initially the robot is not near the plants","After the robot grasps the pipe, waits, then moves near the plants, water will come out of the pipe",1,1,0
5,"After an action is performed, things normally remain as they were.. When the robot grasps a water pipe, the water pipe will normally be in the hand.. When the water pipe is in the hand, if the robot moves near the plants, water will normally come out of the pipe.. Initially the water pipe is not in the hand. Initially the robot is not near the plants","After the robot grasps the pipe, waits, then does not move near the plants, water will come out of the pipe",0,0,0
6,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking. Initially the dog is not barking. Initially the dog is not being taken out on a walk","After the dog starts barking, it is taken on walk, and then stops barking at the end of the walk.",1,1,0
7,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking. Initially the dog is not barking. Initially the dog is not being taken out on a walk","A dog is taken out on walk, and then it starts barking,  and then it stops barking at the end of a walk.",2,2,0
8,"If I do not wake up, then I cannot go to work.. If I cannot go to work, then I will not get paid.","If I do not wake up, I will not get paid",1,0,1
9,"If I do not wake up, then I cannot go to work.. If I cannot go to work, then I will not get paid.","If I do not wake up, I will get paid",0,1,1
10,"If I do not pay taxes, I will be committing a crime.. If I commit a crime, I could go to jail.","If I do not pay taxes, I could go to jail.",1,1,0
11,"If I do not pay taxes, I will be committing a crime.. If I commit a crime, I could go to jail.","If I pay taxes, I could go to jail.",0,0,0
12,"If my friend is at home, the he can not look for work. If you do not look for work, then nobody will hire you","If my friend is at home, nobody will hire him.",1,1,0
13,The cake is either chocolate or vanilla. It is not chocolate,The cake is vanilla,1,1,0
14,The cake is either chocolate or vanilla.. It is not chocolate.,The cake is not vanilla.,0,0,0
15,I will either drink milk or I will drink juice. I will not drink juice,I will drink milk.,1,1,0
16,I will either drink milk or I will drink juice. I will not drink juice,I will not drink milk,0,0,0
17,The race is either won or lost.. The race is not won.,The race is lost.,1,1,0
18,All elephants are mammals.. Curtis is an elephant.,Curtis is a mammal,1,1,0
19,All elephants are mammals.. Curtis is an elephant.,Curtis is not a mammal,0,0,0
20,All women can give birth.. Lily is a woman.,Lily can give birth,1,1,0
21,All women can give birth.. Lily is a woman.,Lily can not give birth,0,0,0
22,All humans are mortal. Men are humans,Men are mortal.,1,1,0
23,"If it is not raining outside, then the match will go on.. It is not raining outside.",The match will go on.,1,1,0
24,"If it is not raining outside, then the match will go on.. It is not raining outside.",The match will not go on.,0,1,1
25,"If I score well in the exam, then I will get pizza.. I scored well in the exam.",I got pizza.,1,1,0
26,"If I score well in the exam, then I will get pizza.. I scored well in the exam.",I did not get pizza.,0,0,0
27,"If the speech goes well, he will win the election.. The speech went well.",He won the election.,1,1,0
28,"After an action is performed, things normally remain as they were.. Any time an order is received, food will be cooked.. If the food is cooked, it will be served.. Initially the order was not received.. Initially food is not served.","After an order has been received, food will be cooked, and then the food will be served.",1,1,0
